date,state,district,pincode,bio_age_5_17,bio_age_17_
27-05-2025,Kerala,Kozhikode,673612,5,13
27-05-2025,Kerala,Kozhikode,673614,9,6
27-05-2025,Kerala,Kozhikode,673655,4,2
02-06-2025,Kerala,Kozhikode,673002,1,2
02-06-2025,Kerala,Kozhikode,673004,1,1
02-06-2025,Kerala,Kozhikode,673005,6,6
02-06-2025,Kerala,Kozhikode,673006,2,0
02-06-2025,Kerala,Kozhikode,673010,7,5
02-06-2025,Kerala,Kozhikode,673021,3,2
02-06-2025,Kerala,Kozhikode,673301,4,1
02-06-2025,Kerala,Kozhikode,673521,3,5
02-06-2025,Kerala,Kozhikode,673527,3,1
02-06-2025,Kerala,Kozhikode,673528,2,7
02-06-2025,Kerala,Kozhikode,673571,12,14
02-06-2025,Kerala,Kozhikode,673602,12,28
02-06-2025,Kerala,Kozhikode,673612,8,20
02-06-2025,Kerala,Kozhikode,673655,3,7
